,epoch,test_losses,train_losses,test_accuracies,train_accuracies,train_percentage,synth_percentage,transform,sim_num,category
0,0,1.063188483286649,1.074772670888342,0.4953125,0.4845703125,0.6,0.4,minimal,0,minimal_0.6_0.4
1,1,1.0342142685200089,1.0345879208063706,0.53203125,0.4896484375,0.6,0.4,minimal,0,minimal_0.6_0.4
2,2,0.9488594575319439,1.0120678175706417,0.5375,0.5109375,0.6,0.4,minimal,0,minimal_0.6_0.4
3,3,0.9714664484374225,0.999275166541338,0.52578125,0.518359375,0.6,0.4,minimal,0,minimal_0.6_0.4
4,4,0.9370546693913638,1.0103337929584086,0.53828125,0.5083984375,0.6,0.4,minimal,0,minimal_0.6_0.4
5,5,0.9344151264987886,0.9897612004540861,0.52265625,0.528125,0.6,0.4,minimal,0,minimal_0.6_0.4
6,6,0.9412431615870446,0.9882610047003254,0.57109375,0.52421875,0.6,0.4,minimal,0,minimal_0.6_0.4
7,7,0.968236549757421,0.9791426484007388,0.5625,0.5427734375,0.6,0.4,minimal,0,minimal_0.6_0.4
8,8,0.9140208570286632,0.9717269373591989,0.565625,0.534765625,0.6,0.4,minimal,0,minimal_0.6_0.4
9,9,0.914673924818635,0.9544109670445323,0.58671875,0.5486328125,0.6,0.4,minimal,0,minimal_0.6_0.4
10,0,1.0812020058277994,1.0662189019843935,0.51953125,0.484765625,0.6,0.4,minimal,1,minimal_0.6_0.4
11,1,1.0691197507083416,1.0341317836311645,0.465625,0.4994140625,0.6,0.4,minimal,1,minimal_0.6_0.4
12,2,0.9625081609003245,1.0272050908301025,0.51875,0.4892578125,0.6,0.4,minimal,1,minimal_0.6_0.4
13,3,0.9771812661550939,1.0138771805446596,0.528125,0.49765625,0.6,0.4,minimal,1,minimal_0.6_0.4
14,4,0.9919994226656854,1.0163784891134129,0.50390625,0.5048828125,0.6,0.4,minimal,1,minimal_0.6_0.4
15,5,0.9546423284336925,1.0005290880566462,0.525,0.5099609375,0.6,0.4,minimal,1,minimal_0.6_0.4
16,6,0.952616524323821,0.9984555626288056,0.52890625,0.5150390625,0.6,0.4,minimal,1,minimal_0.6_0.4
17,7,0.9246185922529548,0.9937550919130445,0.553125,0.51484375,0.6,0.4,minimal,1,minimal_0.6_0.4
18,8,0.91905000442639,0.9941970495507121,0.55703125,0.52265625,0.6,0.4,minimal,1,minimal_0.6_0.4
19,9,0.9252100519370288,0.9826557318214327,0.54140625,0.5248046875,0.6,0.4,minimal,1,minimal_0.6_0.4
20,0,0.9474622970446944,1.055829580128193,0.54921875,0.4857421875,0.6,0.4,minimal,2,minimal_0.6_0.4
21,1,0.9569354348815977,1.0488242084160446,0.528125,0.484375,0.6,0.4,minimal,2,minimal_0.6_0.4
22,2,0.9507762050256133,1.018071656418033,0.55859375,0.5125,0.6,0.4,minimal,2,minimal_0.6_0.4
23,3,1.0532150494400412,1.0083073562011122,0.51484375,0.5185546875,0.6,0.4,minimal,2,minimal_0.6_0.4
24,4,0.9523553873412312,0.9967088539618999,0.53203125,0.5201171875,0.6,0.4,minimal,2,minimal_0.6_0.4
25,5,0.9535753976553678,0.98886686086189,0.5375,0.52734375,0.6,0.4,minimal,2,minimal_0.6_0.4
26,6,0.9221873844042421,0.9880951910745353,0.55234375,0.5259765625,0.6,0.4,minimal,2,minimal_0.6_0.4
27,7,0.9007442527450621,0.9840262850513681,0.5734375,0.5259765625,0.6,0.4,minimal,2,minimal_0.6_0.4
28,8,0.915929009579122,0.9711924857459963,0.57109375,0.5392578125,0.6,0.4,minimal,2,minimal_0.6_0.4
29,9,0.8920764463953674,0.961523874104023,0.56484375,0.5392578125,0.6,0.4,minimal,2,minimal_0.6_0.4
30,0,0.9423471158370376,1.0652988488785922,0.540625,0.4740234375,0.6,0.4,minimal,3,minimal_0.6_0.4
31,1,0.9801974272355437,1.0267831925535575,0.4953125,0.498828125,0.6,0.4,minimal,3,minimal_0.6_0.4
32,2,1.0564175441861152,1.0104102680226787,0.428125,0.5099609375,0.6,0.4,minimal,3,minimal_0.6_0.4
33,3,1.0064851948991418,1.0037409528857097,0.51640625,0.5048828125,0.6,0.4,minimal,3,minimal_0.6_0.4
