,epoch,test_losses,train_losses,test_accuracies,train_accuracies,train_percentage,synth_percentage,transform,sim_num,category
0,0,0.8707611471414566,0.9756408100947738,0.5859375,0.53369140625,0.8,0.0,minimal,0,minimal_0.8_0.0
1,1,0.5723962038755417,0.7054892920423299,0.77109375,0.685546875,0.8,0.0,minimal,0,minimal_0.8_0.0
2,2,0.34770350642502307,0.30111228697933257,0.8703125,0.88232421875,0.8,0.0,minimal,0,minimal_0.8_0.0
3,3,0.2452064087614417,0.10566810649470426,0.91015625,0.966064453125,0.8,0.0,minimal,0,minimal_0.8_0.0
4,4,0.2029834707500413,0.04371448768506525,0.94296875,0.9853515625,0.8,0.0,minimal,0,minimal_0.8_0.0
5,5,0.3355158522725105,0.04954096822621068,0.88046875,0.982666015625,0.8,0.0,minimal,0,minimal_0.8_0.0
6,6,0.19281211164197884,0.021795483286950912,0.95390625,0.993408203125,0.8,0.0,minimal,0,minimal_0.8_0.0
7,7,0.2521127773215994,0.006923086609049278,0.9453125,0.997802734375,0.8,0.0,minimal,0,minimal_0.8_0.0
8,8,0.5601592991501093,0.007595215390892918,0.88828125,0.997802734375,0.8,0.0,minimal,0,minimal_0.8_0.0
9,9,0.15309316023922293,0.010570391030086057,0.96796875,0.99755859375,0.8,0.0,minimal,0,minimal_0.8_0.0
10,10,0.17319745422282723,0.0023069712197383296,0.959375,0.998779296875,0.8,0.0,minimal,0,minimal_0.8_0.0
11,11,0.2664031677646562,0.03995961450635832,0.9109375,0.984375,0.8,0.0,minimal,0,minimal_0.8_0.0
12,12,0.2019489816389978,0.0354544714059557,0.94375,0.9873046875,0.8,0.0,minimal,0,minimal_0.8_0.0
13,13,0.1872622253547888,0.007860246976832741,0.9609375,0.998046875,0.8,0.0,minimal,0,minimal_0.8_0.0
14,14,0.3431553948437795,0.009263479771647098,0.93671875,0.995849609375,0.8,0.0,minimal,0,minimal_0.8_0.0
15,0,0.8228095307946205,0.9400469530373812,0.590625,0.55224609375,0.8,0.0,minimal,1,minimal_0.8_0.0
16,1,0.5474555246531964,0.675727931316942,0.75703125,0.69287109375,0.8,0.0,minimal,1,minimal_0.8_0.0
17,2,0.4893690705299377,0.3138497101608664,0.7875,0.876220703125,0.8,0.0,minimal,1,minimal_0.8_0.0
18,3,0.2356390950269997,0.1572007083304925,0.91875,0.947021484375,0.8,0.0,minimal,1,minimal_0.8_0.0
19,4,0.24737282800488175,0.04769120900891721,0.93046875,0.9853515625,0.8,0.0,minimal,1,minimal_0.8_0.0
20,5,0.2647295608650893,0.015007549640813522,0.921875,0.99658203125,0.8,0.0,minimal,1,minimal_0.8_0.0
21,6,0.20061559152090921,0.02119033549524829,0.94375,0.993408203125,0.8,0.0,minimal,1,minimal_0.8_0.0
22,7,0.17195811852579937,0.002228120837401093,0.95390625,0.999755859375,0.8,0.0,minimal,1,minimal_0.8_0.0
23,8,0.17665984360792208,0.0004801658485575899,0.95546875,1.0,0.8,0.0,minimal,1,minimal_0.8_0.0
24,9,0.17025472306704614,0.00028733080716847326,0.95859375,1.0,0.8,0.0,minimal,1,minimal_0.8_0.0
25,10,0.1742526751710102,0.0002120873614614993,0.95859375,1.0,0.8,0.0,minimal,1,minimal_0.8_0.0
26,11,0.17602473990991713,0.0001656439994661696,0.9609375,1.0,0.8,0.0,minimal,1,minimal_0.8_0.0
27,12,0.18045086882921169,0.00013723283363731298,0.95859375,1.0,0.8,0.0,minimal,1,minimal_0.8_0.0
28,13,0.18257721998961643,0.00011260813086266808,0.96171875,1.0,0.8,0.0,minimal,1,minimal_0.8_0.0
29,14,0.17988647110032616,9.52192557903686e-05,0.96328125,1.0,0.8,0.0,minimal,1,minimal_0.8_0.0
30,0,0.864824490249157,0.9725508196279407,0.57890625,0.522216796875,0.8,0.0,minimal,2,minimal_0.8_0.0
31,1,0.7708316735923291,0.7448757328093052,0.68046875,0.660400390625,0.8,0.0,minimal,2,minimal_0.8_0.0
32,2,0.4009475037455559,0.4496979438699782,0.83359375,0.818115234375,0.8,0.0,minimal,2,minimal_0.8_0.0
33,3,0.30365494564175605,0.2020116675994359,0.8703125,0.92626953125,0.8,0.0,minimal,2,minimal_0.8_0.0
34,4,0.19510093717835844,0.06668510637246072,0.93515625,0.9794921875,0.8,0.0,minimal,2,minimal_0.8_0.0
35,5,0.20554444370791317,0.025210692600012408,0.94921875,0.994384765625,0.8,0.0,minimal,2,minimal_0.8_0.0
36,6,0.1664172913879156,0.05306421200339173,0.94609375,0.980712890625,0.8,0.0,minimal,2,minimal_0.8_0.0
37,7,0.23722929330542683,0.016993596819247614,0.9234375,0.99658203125,0.8,0.0,minimal,2,minimal_0.8_0.0
38,8,0.17890631110349203,0.017867653442635856,0.9640625,0.992919921875,0.8,0.0,minimal,2,minimal_0.8_0.0
39,9,0.17519090703572146,0.026373535842822093,0.95859375,0.991455078125,0.8,0.0,minimal,2,minimal_0.8_0.0
40,10,0.13333456052932888,0.030581038047785114,0.9703125,0.98974609375,0.8,0.0,minimal,2,minimal_0.8_0.0
41,11,0.13197655038384254,0.0009141579185438786,0.9703125,1.0,0.8,0.0,minimal,2,minimal_0.8_0.0
42,12,0.13215438463812462,0.0002315256042351166,0.971875,1.0,0.8,0.0,minimal,2,minimal_0.8_0.0
43,13,0.1364736933639506,0.00015399476001221046,0.96953125,1.0,0.8,0.0,minimal,2,minimal_0.8_0.0
44,14,0.1369924198530498,0.0001164859921942707,0.971875,1.0,0.8,0.0,minimal,2,minimal_0.8_0.0
45,0,0.8880414873361587,0.9853695961646736,0.57265625,0.525634765625,0.8,0.0,minimal,3,minimal_0.8_0.0
46,1,0.6722567588090896,0.7239572003018111,0.6875,0.68359375,0.8,0.0,minimal,3,minimal_0.8_0.0
47,2,0.3449604641646147,0.35776533582247794,0.85625,0.862548828125,0.8,0.0,minimal,3,minimal_0.8_0.0
48,3,0.300986435636878,0.15924400556832552,0.89140625,0.94287109375,0.8,0.0,minimal,3,minimal_0.8_0.0
49,4,0.197540155146271,0.05623504998766293,0.94609375,0.98291015625,0.8,0.0,minimal,3,minimal_0.8_0.0
50,5,0.19634097712114454,0.01414972019756533,0.93203125,0.996337890625,0.8,0.0,minimal,3,minimal_0.8_0.0
51,6,0.2341782238218002,0.030953598111864267,0.9390625,0.989990234375,0.8,0.0,minimal,3,minimal_0.8_0.0
52,7,0.22096997424960135,0.0025633612059436928,0.94453125,0.999755859375,0.8,0.0,minimal,3,minimal_0.8_0.0
53,8,0.2078282063594088,0.00047536818908611167,0.9546875,1.0,0.8,0.0,minimal,3,minimal_0.8_0.0
54,9,0.2111208081660152,0.0002478191262156315,0.95390625,1.0,0.8,0.0,minimal,3,minimal_0.8_0.0
55,10,0.21408689269446768,0.0001888430582255296,0.95625,1.0,0.8,0.0,minimal,3,minimal_0.8_0.0
56,11,0.21995425409986638,0.00014961244542632812,0.95390625,1.0,0.8,0.0,minimal,3,minimal_0.8_0.0
57,12,0.21881733890040778,0.00012171585824205522,0.9546875,1.0,0.8,0.0,minimal,3,minimal_0.8_0.0
58,13,0.22499502575956284,0.0001017375972054424,0.9546875,1.0,0.8,0.0,minimal,3,minimal_0.8_0.0
59,14,0.2239231145591475,8.623060623591527e-05,0.9546875,1.0,0.8,0.0,minimal,3,minimal_0.8_0.0
60,0,0.9231905981898307,1.0069919028319418,0.5546875,0.509033203125,0.8,0.0,minimal,4,minimal_0.8_0.0
61,1,0.8053235024213791,0.8448197157122195,0.60625,0.597412109375,0.8,0.0,minimal,4,minimal_0.8_0.0
62,2,0.5418516635894776,0.6284115826711059,0.76640625,0.724365234375,0.8,0.0,minimal,4,minimal_0.8_0.0
63,3,0.4564532544463873,0.39406302757561207,0.82109375,0.84375,0.8,0.0,minimal,4,minimal_0.8_0.0
64,4,0.25747398333624005,0.17954374101827852,0.90625,0.936767578125,0.8,0.0,minimal,4,minimal_0.8_0.0
65,5,0.2044541861396283,0.07963394875696395,0.934375,0.978759765625,0.8,0.0,minimal,4,minimal_0.8_0.0
66,6,0.21711735287681222,0.02486686832526175,0.9484375,0.99365234375,0.8,0.0,minimal,4,minimal_0.8_0.0
67,7,0.22731877961196006,0.0156437648370229,0.93515625,0.995361328125,0.8,0.0,minimal,4,minimal_0.8_0.0
68,8,0.18147148196585478,0.004569530620301521,0.9515625,0.99951171875,0.8,0.0,minimal,4,minimal_0.8_0.0
69,9,0.18831033144815593,0.0012364548557570743,0.953125,1.0,0.8,0.0,minimal,4,minimal_0.8_0.0
70,10,0.18505517076700925,0.0005711273139468176,0.953125,1.0,0.8,0.0,minimal,4,minimal_0.8_0.0
71,11,0.18902068018214777,0.0003919711917319546,0.9546875,1.0,0.8,0.0,minimal,4,minimal_0.8_0.0
72,12,0.18975051284069194,0.00030264764544085665,0.953125,1.0,0.8,0.0,minimal,4,minimal_0.8_0.0
73,13,0.1925821323355194,0.00023895393395889641,0.95390625,1.0,0.8,0.0,minimal,4,minimal_0.8_0.0
74,14,0.19067943901463877,0.00019740563617176576,0.95390625,1.0,0.8,0.0,minimal,4,minimal_0.8_0.0
75,0,0.8673942446708679,0.9719961388036609,0.59296875,0.54345703125,0.8,0.0,minimal,5,minimal_0.8_0.0
