,sim_num,train_percentage,synthetic_percentage,transform,epoch,val_losses,train_losses,val_accuracies
0,0,0.8,0.1,minimal,0,0.9631024748086929,1.0327754458412528,0.560546875
1,0,0.8,0.1,minimal,1,0.8083807826042175,0.8703680066391826,0.6044921875
2,0,0.8,0.1,minimal,2,0.721664197742939,0.7162001519463956,0.65234375
3,0,0.8,0.1,minimal,3,0.6279389038681984,0.5422513829544187,0.716796875
4,0,0.8,0.1,minimal,4,0.5191034805029631,0.3399509210139513,0.7890625
5,0,0.8,0.1,minimal,5,0.3284387765452266,0.2160643134266138,0.884765625
6,0,0.8,0.1,minimal,6,0.3568829298019409,0.13035958161344752,0.8720703125
7,0,0.8,0.1,minimal,7,0.3362246844917536,0.11163655071868561,0.875
8,1,0.8,0.1,minimal,0,0.9324954636394978,1.0419708201661706,0.560546875
9,1,0.8,0.1,minimal,1,0.8245082683861256,0.9015606269240379,0.60546875
10,1,0.8,0.1,minimal,2,0.7073601372539997,0.7649010755121708,0.705078125
11,1,0.8,0.1,minimal,3,0.6929929293692112,0.5781879345886409,0.6845703125
12,1,0.8,0.1,minimal,4,0.475342707708478,0.4095265348441899,0.8017578125
13,1,0.8,0.1,minimal,5,0.32874469086527824,0.2422649193322286,0.8671875
14,1,0.8,0.1,minimal,6,0.42932263761758804,0.15936480625532568,0.83984375
15,1,0.8,0.1,minimal,7,0.2489733323454857,0.09020369069185108,0.9169921875
16,1,0.8,0.1,minimal,8,0.20330387027934194,0.03944364102790132,0.9287109375
17,1,0.8,0.1,minimal,9,0.20809200429357588,0.04536206307238899,0.931640625
18,2,0.8,0.1,minimal,0,0.9657158106565475,1.0494592040777206,0.525390625
19,2,0.8,0.1,minimal,1,0.8464736118912697,0.9197787409648299,0.5869140625
20,2,0.8,0.1,minimal,2,0.7456635236740112,0.7864488679915667,0.650390625
21,2,0.8,0.1,minimal,3,0.5549463424831629,0.6077441251836717,0.7744140625
22,2,0.8,0.1,minimal,4,0.5436986684799194,0.4076653141528368,0.7509765625
23,2,0.8,0.1,minimal,5,0.4139331914484501,0.2712933502625674,0.845703125
24,2,0.8,0.1,minimal,6,0.2797430297359824,0.1607527259620838,0.896484375
25,2,0.8,0.1,minimal,7,0.2368590785190463,0.0908437121543102,0.9130859375
26,2,0.8,0.1,minimal,8,0.2637562584131956,0.051132354157743976,0.9306640625
27,2,0.8,0.1,minimal,9,0.20838705636560917,0.05648103606654331,0.9404296875
28,0,0.8,0.1,basic,0,1.0046362578868866,1.036206167191267,0.5009765625
29,0,0.8,0.1,basic,1,0.9496799372136593,0.9314131671562791,0.5380859375
30,0,0.8,0.1,basic,2,0.882583923637867,0.8791203023865819,0.576171875
31,0,0.8,0.1,basic,3,0.8661928065121174,0.851508280262351,0.5849609375
32,0,0.8,0.1,basic,4,0.808176975697279,0.7855323133990169,0.6015625
33,0,0.8,0.1,basic,5,0.7215686328709126,0.7166819088160992,0.6923828125
34,0,0.8,0.1,basic,6,0.6810467094182968,0.6402949523180723,0.7041015625
35,0,0.8,0.1,basic,7,0.6436045691370964,0.5125058046542108,0.728515625
36,0,0.8,0.1,basic,8,0.5015382785350084,0.4270438125822693,0.7958984375
37,0,0.8,0.1,basic,9,0.41271544992923737,0.3236516567412764,0.8447265625
38,1,0.8,0.1,basic,0,1.0030379816889763,1.0490610422566533,0.548828125
39,1,0.8,0.1,basic,1,0.9043164886534214,0.930182047188282,0.5712890625
40,1,0.8,0.1,basic,2,0.8461570218205452,0.8562190486118197,0.5810546875
41,1,0.8,0.1,basic,3,0.8341112546622753,0.7830693935975432,0.6005859375
42,1,0.8,0.1,basic,4,0.7526120133697987,0.7270646942779422,0.6533203125
43,1,0.8,0.1,basic,5,0.5956874564290047,0.6059733252041042,0.7265625
44,1,0.8,0.1,basic,6,0.5760472100228071,0.4935562526807189,0.7412109375
45,1,0.8,0.1,basic,7,0.49939434975385666,0.3989389669150114,0.791015625
46,1,0.8,0.1,basic,8,0.39593777619302273,0.2892582417698577,0.8505859375
47,1,0.8,0.1,basic,9,0.34741589426994324,0.22862425143830478,0.857421875
48,2,0.8,0.1,basic,0,1.0346177816390991,1.0608649859204888,0.482421875
49,2,0.8,0.1,basic,1,0.924323670566082,0.9680931959301233,0.537109375
50,2,0.8,0.1,basic,2,0.8569524250924587,0.8874998958781362,0.5859375
51,2,0.8,0.1,basic,3,0.7988049797713757,0.8148663677275181,0.6123046875
52,2,0.8,0.1,basic,4,0.7351950593292713,0.7535489788278937,0.6708984375
53,2,0.8,0.1,basic,5,0.7813555672764778,0.6580757787451148,0.6220703125
54,2,0.8,0.1,basic,6,0.5810177959501743,0.5525416103191674,0.755859375
55,2,0.8,0.1,basic,7,0.4609883576631546,0.44655321654863656,0.80859375
56,2,0.8,0.1,basic,8,0.4464992694556713,0.3812271007336676,0.82421875
57,2,0.8,0.1,basic,9,0.3940525222569704,0.2681113644503057,0.853515625
58,0,0.8,0.1,auto,0,1.0607206001877785,1.0641098665073514,0.4814453125
59,0,0.8,0.1,auto,1,1.032178234308958,1.0352977346628904,0.51953125
60,0,0.8,0.1,auto,2,1.0219845548272133,1.0291568608954549,0.5185546875
61,0,0.8,0.1,auto,3,0.9775937385857105,1.0003997134044766,0.533203125
62,0,0.8,0.1,auto,4,0.9844773709774017,0.9706477345898747,0.51953125
63,0,0.8,0.1,auto,5,0.9283292554318905,0.9462916282936931,0.5517578125
64,0,0.8,0.1,auto,6,0.9595700651407242,0.9273067554458976,0.5537109375
