,epoch,test_losses,train_losses,test_accuracies,train_accuracies,train_percentage,synth_percentage,transform,sim_num,category
0,0,1.0227241201791912,1.070990155916661,0.50859375,0.475390625,0.4,0.6,basic,0,basic_0.4_0.6
1,1,1.016615548171103,1.0453572852071376,0.48671875,0.4833984375,0.4,0.6,basic,0,basic_0.4_0.6
2,2,0.9927886925637722,1.0412220449419691,0.4953125,0.484765625,0.4,0.6,basic,0,basic_0.4_0.6
3,3,1.0218539601191878,1.0502073692856357,0.496875,0.48984375,0.4,0.6,basic,0,basic_0.4_0.6
4,4,0.9704489399679005,1.0223872184520588,0.5125,0.5080078125,0.4,0.6,basic,0,basic_0.4_0.6
5,5,0.9524231262505054,1.0116850586608053,0.54296875,0.5083984375,0.4,0.6,basic,0,basic_0.4_0.6
6,6,0.9440337870270014,1.0085510077420623,0.5359375,0.5119140625,0.4,0.6,basic,0,basic_0.4_0.6
7,7,0.9578722852282227,1.0061015207786113,0.5375,0.5140625,0.4,0.6,basic,0,basic_0.4_0.6
8,8,5.275212218100205,1.0018696272280068,0.35859375,0.51875,0.4,0.6,basic,0,basic_0.4_0.6
9,9,0.9500581841915846,1.0010563063900917,0.5359375,0.5111328125,0.4,0.6,basic,0,basic_0.4_0.6
10,0,0.986738118249923,1.069560487009585,0.51484375,0.4736328125,0.4,0.6,basic,1,basic_0.4_0.6
11,1,0.9957348270341754,1.0474809790262953,0.51328125,0.4869140625,0.4,0.6,basic,1,basic_0.4_0.6
12,2,2.0050087390467524,1.0363469366682694,0.35234375,0.49140625,0.4,0.6,basic,1,basic_0.4_0.6
13,3,0.9600396649912,1.014275309466757,0.53828125,0.5111328125,0.4,0.6,basic,1,basic_0.4_0.6
14,4,1.0163652719929814,1.0198873616755009,0.5265625,0.50390625,0.4,0.6,basic,1,basic_0.4_0.6
15,5,0.9861221488565206,1.01222069025971,0.5265625,0.51328125,0.4,0.6,basic,1,basic_0.4_0.6
16,6,1.1024818748235703,1.0118895792402327,0.5078125,0.511328125,0.4,0.6,basic,1,basic_0.4_0.6
17,7,0.9457655113190413,1.0027931427117438,0.52265625,0.516796875,0.4,0.6,basic,1,basic_0.4_0.6
18,8,0.9595216053538025,0.9999336305074393,0.534375,0.5201171875,0.4,0.6,basic,1,basic_0.4_0.6
19,9,0.9519534499384463,0.9981002603657544,0.5359375,0.528515625,0.4,0.6,basic,1,basic_0.4_0.6
20,0,1.1261869985610247,1.0670605554711075,0.50234375,0.478125,0.4,0.6,basic,2,basic_0.4_0.6
21,1,1.1242203830741346,1.0577382592484355,0.4828125,0.496875,0.4,0.6,basic,2,basic_0.4_0.6
22,2,0.9823517637327314,1.025923870690167,0.52578125,0.5005859375,0.4,0.6,basic,2,basic_0.4_0.6
23,3,0.9976674539968371,1.0257965113036334,0.48828125,0.4962890625,0.4,0.6,basic,2,basic_0.4_0.6
24,4,1.2585878393612802,1.0160270918626337,0.50078125,0.498046875,0.4,0.6,basic,2,basic_0.4_0.6
25,5,0.9810866238549352,1.0088146345224231,0.53046875,0.509375,0.4,0.6,basic,2,basic_0.4_0.6
26,6,0.968228664342314,1.0054957571439445,0.52890625,0.508203125,0.4,0.6,basic,2,basic_0.4_0.6
27,7,0.95048320107162,1.0033470389433206,0.5265625,0.503515625,0.4,0.6,basic,2,basic_0.4_0.6
28,8,0.95116708567366,1.0067788934800774,0.546875,0.5169921875,0.4,0.6,basic,2,basic_0.4_0.6
29,9,0.9672954499721527,1.00328537710011,0.534375,0.5115234375,0.4,0.6,basic,2,basic_0.4_0.6
30,0,1.171716097719036,1.0848032121313735,0.4953125,0.4666015625,0.4,0.6,basic,3,basic_0.4_0.6
31,1,1.0537609489634634,1.0538632516749202,0.38203125,0.4828125,0.4,0.6,basic,3,basic_0.4_0.6
32,2,0.9742025090614334,1.0355557593982667,0.5265625,0.48984375,0.4,0.6,basic,3,basic_0.4_0.6
33,3,0.9648962295614183,1.0203962234314532,0.51484375,0.4970703125,0.4,0.6,basic,3,basic_0.4_0.6
34,4,0.9858967112377286,1.0159645076608286,0.5125,0.4986328125,0.4,0.6,basic,3,basic_0.4_0.6
35,5,0.963593365252018,1.0149701312184334,0.55078125,0.5013671875,0.4,0.6,basic,3,basic_0.4_0.6
36,6,0.9646712714107707,1.0164901334326715,0.53671875,0.494921875,0.4,0.6,basic,3,basic_0.4_0.6
37,7,0.9410253102891147,1.0072652054019273,0.534375,0.5099609375,0.4,0.6,basic,3,basic_0.4_0.6
38,8,0.9899136329535395,1.0088952243095264,0.50859375,0.50546875,0.4,0.6,basic,3,basic_0.4_0.6
39,9,0.9443519724532962,1.0081010675756261,0.54765625,0.5236328125,0.4,0.6,basic,3,basic_0.4_0.6
40,0,0.9958146101795137,1.0736291024833917,0.4953125,0.4759765625,0.4,0.6,basic,4,basic_0.4_0.6
41,1,1.0309079469181597,1.0318212578771635,0.4953125,0.49140625,0.4,0.6,basic,4,basic_0.4_0.6
42,2,0.9671163202263415,1.0272172550437972,0.52890625,0.505078125,0.4,0.6,basic,4,basic_0.4_0.6
43,3,0.9638262220658362,1.0245305661810562,0.5046875,0.496484375,0.4,0.6,basic,4,basic_0.4_0.6
44,4,0.9595776706933975,1.0050533928908407,0.521875,0.5146484375,0.4,0.6,basic,4,basic_0.4_0.6
45,5,1.0434018384665251,1.0021917317295448,0.50703125,0.5091796875,0.4,0.6,basic,4,basic_0.4_0.6
46,6,1.0114190217107535,1.0067286843899637,0.509375,0.5162109375,0.4,0.6,basic,4,basic_0.4_0.6
47,7,0.9434122779406607,0.9957664738409221,0.53515625,0.521875,0.4,0.6,basic,4,basic_0.4_0.6
48,8,0.9476282364688814,0.9960143154952675,0.553125,0.5265625,0.4,0.6,basic,4,basic_0.4_0.6
49,9,0.9443701122887432,0.9898760678712278,0.53515625,0.522265625,0.4,0.6,basic,4,basic_0.4_0.6
50,0,0.9561991344206036,1.0613850451773033,0.52578125,0.4810546875,0.4,0.6,basic,5,basic_0.4_0.6
51,1,1.0252833887934685,1.0330646883463488,0.5234375,0.493359375,0.4,0.6,basic,5,basic_0.4_0.6
52,2,1.2892806300194934,1.0351528147468343,0.509375,0.4966796875,0.4,0.6,basic,5,basic_0.4_0.6
